service_id,date,exception_type
0096UE550117451745475,20140213,2
0096UE550118001774941,20140127,2
0096UE550118001774941,20140206,2
0096UE550119001864160,20140127,2
0096UE550119001864160,20140206,2
0101ML45510630621091,20140127,2
0101ML45510630621091,20140206,2
0101ML45510700675913,20140127,2
0101ML45510700675913,20140206,2
0101ML45510730720463,20140127,2
0101ML45510730720463,20140206,2
0101ML45510800765013,20140127,2
0101ML45510800765013,20140206,2
0101ML45510830809563,20140127,2
0101ML45510830809563,20140206,2
0101ML45510900847662,20140127,2
0101ML45510900847662,20140206,2
0101ML45511000936762,20140127,2
0101ML45511000936762,20140206,2
0101ML455111001025862,20140127,2
0101ML455111001025862,20140206,2
0101ML455112001114962,20140127,2
0101ML455112001114962,20140206,2
0101ML455113001204062,20140127,2
0101ML455113001204062,20140206,2
0101ML455114001293162,20140127,2
0101ML455114001293162,20140206,2
0101ML455115001382262,20140127,2
0101ML455115001382262,20140206,2
0101ML455115301435006,20140127,2
0101ML455115301435006,20140206,2
0101ML455116001479556,20140127,2
0101ML455116001479556,20140206,2
0101ML455116301524106,20140127,2
0101ML455116301524106,20140206,2
0101ML455117001568656,20140127,2
0101ML455117001568656,20140206,2
0101ML455117301613206,20140127,2
0101ML455117301613206,20140206,2
0101ML455118001657756,20140127,2
0101ML455118001657756,20140206,2
0102ML45520630655428,20140127,2
0102ML45520630655428,20140206,2
0102ML45520700707139,20140127,2
0102ML45520700707139,20140206,2
0102ML45520730753339,20140127,2
0102ML45520730753339,20140206,2
0102ML45520800799539,20140127,2
0102ML45520800799539,20140206,2
0102ML45520830845739,20140127,2
0102ML45520830845739,20140206,2
0102ML45520900886428,20140127,2
0102ML45520900886428,20140206,2
0102ML45521000978828,20140127,2
0102ML45521000978828,20140206,2
0102ML455211001071228,20140127,2
0102ML455211001071228,20140206,2
0102ML455212001163628,20140127,2
0102ML455212001163628,20140206,2
0102ML455213001256028,20140127,2
0102ML455213001256028,20140206,2
0102ML455214001348428,20140127,2
0102ML455214001348428,20140206,2
0102ML455215001440828,20140127,2
0102ML455215001440828,20140206,2
0102ML455215301495132,20140127,2
0102ML455215301495132,20140206,2
0102ML455216001541332,20140127,2
0102ML455216001541332,20140206,2
0102ML455216301587532,20140127,2
0102ML455216301587532,20140206,2
0102ML455217001633732,20140127,2
0102ML455217001633732,20140206,2
0102ML455217301679932,20140127,2
0102ML455217301679932,20140206,2
0102ML455218001726132,20140127,2
0102ML455218001726132,20140206,2
0111ML41800930328040,20140127,2
0111ML41800930328040,20140206,2
0111ML41801030361700,20140127,2
0111ML41801030361700,20140206,2
0111ML41801130395360,20140127,2
0111ML41801130395360,20140206,2
0111ML41801230429020,20140127,2
0111ML41801230429020,20140206,2
0111ML41801330462680,20140127,2
0111ML41801330462680,20140206,2
0111ML41801430496340,20140127,2
0111ML41801430496340,20140206,2
0112ML47260900225809,20140127,2
0112ML47260900225809,20140206,2
0112ML47261000250169,20140127,2
0112ML47261000250169,20140206,2
0112ML47261100274529,20140127,2
0112ML47261100274529,20140206,2
0112ML47261200298889,20140127,2
0112ML47261200298889,20140206,2
0112ML47261300323249,20140127,2
0112ML47261300323249,20140206,2
0112ML47261400347609,20140127,2
0112ML47261400347609,20140206,2
0201ML44830600163651,20140127,2
0201ML44830600163651,20140206,2
0201ML44830620172351,20140127,2
0201ML44830620172351,20140206,2
0201ML44830640181541,20140127,2
0201ML44830640181541,20140206,2
0201ML44830700191719,20140127,2
0201ML44830700191719,20140206,2
0201ML44830710194101,20140113,2
0201ML44830710194101,20140116,2
0201ML44830710194101,20140120,2
0201ML44830710194101,20140123,2
0201ML44830710194101,20140130,2
0201ML44830710194101,20140203,2
0201ML44830710194101,20140210,2
0201ML44830710194101,20140213,2
0201ML44830720200419,20140127,2
0201ML44830720200419,20140206,2
0201ML44830800217819,20140127,2
0201ML44830800217819,20140206,2
0201ML44830810220201,20140113,2
0201ML44830810220201,20140116,2
0201ML44830810220201,20140120,2
0201ML44830810220201,20140123,2
0201ML44830810220201,20140130,2
0201ML44830810220201,20140203,2
0201ML44830810220201,20140210,2
0201ML44830810220201,20140213,2
0201ML44830820226519,20140127,2
0201ML44830820226519,20140206,2
0201ML44830900242711,20140127,2
0201ML44830900242711,20140206,2
0201ML44830910246735,20140113,2
0201ML44830910246735,20140116,2
0201ML44830910246735,20140120,2
0201ML44830910246735,20140123,2
0201ML44830910246735,20140130,2
0201ML44830910246735,20140203,2
0201ML44830910246735,20140210,2
0201ML44830910246735,20140213,2
0201ML44830920251411,20140127,2
0201ML44830920251411,20140206,2
0201ML44831000268811,20140127,2
0201ML44831000268811,20140206,2
0201ML44831010273161,20140113,2
0201ML44831010273161,20140116,2
0201ML44831010273161,20140120,2
0201ML44831010273161,20140123,2
0201ML44831010273161,20140130,2
0201ML44831010273161,20140203,2
0201ML44831010273161,20140210,2
0201ML44831010273161,20140213,2
0201ML44831020277511,20140127,2
0201ML44831020277511,20140206,2
0201ML44831100294911,20140127,2
0201ML44831100294911,20140206,2
0201ML44831110299261,20140113,2
0201ML44831110299261,20140116,2
0201ML44831110299261,20140120,2
0201ML44831110299261,20140123,2
0201ML44831110299261,20140130,2
0201ML44831110299261,20140203,2
0201ML44831110299261,20140210,2
0201ML44831110299261,20140213,2
0201ML44831120303611,20140127,2
